=== UCB Scores (N_total=47, c=1.414) ===

Node 46: UCB=3.774, parent=40, visits=1, R2=1.000
Node 47: UCB=3.774, parent=45, visits=1, R2=1.000
Node 48: UCB=3.774, parent=41, visits=1, R2=1.000
Node 49: UCB=3.774, parent=42, visits=1, R2=1.000
Node 50: UCB=3.774, parent=43, visits=1, R2=1.000
Node 44: UCB=3.774, parent=38, visits=1, R2=1.000
Node 45: UCB=2.962, parent=39, visits=2, R2=1.000
Node 40: UCB=2.962, parent=30, visits=2, R2=1.000
Node 41: UCB=2.962, parent=31, visits=2, R2=1.000
Node 42: UCB=2.962, parent=36, visits=2, R2=1.000
Node 43: UCB=2.962, parent=37, visits=2, R2=1.000
Node 38: UCB=2.962, parent=34, visits=2, R2=1.000
Node 39: UCB=2.602, parent=35, visits=3, R2=1.000
Node 36: UCB=2.602, parent=16, visits=3, R2=1.000
Node 37: UCB=2.602, parent=28, visits=3, R2=1.000
Node 30: UCB=2.602, parent=29, visits=3, R2=1.000
Node 31: UCB=2.602, parent=6, visits=3, R2=1.000
Node 34: UCB=2.602, parent=32, visits=3, R2=1.000
Node 35: UCB=2.387, parent=33, visits=4, R2=1.000
Node 6: UCB=2.387, parent=4, visits=4, R2=1.000
Node 16: UCB=2.387, parent=4, visits=4, R2=1.000
Node 28: UCB=2.387, parent=27, visits=4, R2=1.000
Node 32: UCB=2.387, parent=12, visits=4, R2=1.000
Node 29: UCB=2.387, parent=5, visits=4, R2=1.000
Node 33: UCB=2.241, parent=14, visits=5, R2=1.000
Node 5: UCB=2.241, parent=4, visits=5, R2=1.000
Node 12: UCB=2.241, parent=11, visits=5, R2=1.000
Node 27: UCB=2.241, parent=26, visits=5, R2=1.000
Node 14: UCB=2.132, parent=13, visits=6, R2=1.000
Node 11: UCB=2.132, parent=10, visits=6, R2=1.000
Node 26: UCB=2.132, parent=25, visits=6, R2=1.000
Node 13: UCB=2.048, parent=4, visits=7, R2=1.000
Node 10: UCB=2.048, parent=9, visits=7, R2=1.000
Node 25: UCB=2.048, parent=24, visits=7, R2=1.000
Node 9: UCB=1.981, parent=8, visits=8, R2=1.000
Node 24: UCB=1.981, parent=23, visits=8, R2=1.000
Node 8: UCB=1.925, parent=7, visits=9, R2=1.000
Node 23: UCB=1.925, parent=22, visits=9, R2=1.000
Node 7: UCB=1.877, parent=4, visits=10, R2=1.000
Node 22: UCB=1.877, parent=21, visits=10, R2=1.000
Node 21: UCB=1.836, parent=20, visits=11, R2=1.000
Node 20: UCB=1.801, parent=19, visits=12, R2=1.000
Node 19: UCB=1.769, parent=18, visits=13, R2=1.000
Node 18: UCB=1.741, parent=17, visits=14, R2=1.000
Node 17: UCB=1.716, parent=15, visits=15, R2=1.000
Node 15: UCB=1.693, parent=4, visits=16, R2=1.000
Node 4: UCB=1.404, parent=3, visits=47, R2=1.000
